sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
4.4,2,0.453582,51.6096,1,1,19.3243,19.3243,16.7105,1
4.4,3,0.476497,58.7799,1,1,17.7322,17.7322,15.3372,1
4.4,4,0.253582,51.6096,1,1,19.3243,19.3243,16.7105,1
4.4,5,0.156497,58.7799,1,1,17.7322,17.7322,15.3372,1
4.4,6,0.774288,51.6096,1,1,19.3243,19.3243,16.7105,1
4.4,7,0.9,58.7799,1,1,17.7322,17.7322,15.3372,1
4.5,0,0.172721,59.6443,1,1,21.9648,21.9648,19.0314,1
4.5,1,0.122721,59.6443,1,1,21.9648,21.9648,19.0314,1
4.5,2,0.450512,52.3263,1,1,17.8871,17.8871,15.4699,1
4.5,3,0.472721,59.6443,1,1,21.9648,21.9648,19.0314,1
4.5,4,0.250512,52.3263,1,1,17.8871,17.8871,15.4699,1
4.5,5,0.152721,59.6443,1,1,21.9648,21.9648,19.0314,1
4.5,6,0.77347,52.3263,1,1,17.8871,17.8871,15.4699,1
4.5,7,0.9,59.6443,1,1,21.9648,21.9648,19.0314,1
4.6,0,0.169824,60.1619,1,1,16.8685,16.8685,14.6009,1
4.6,1,0.119824,60.1619,1,1,16.8685,16.8685,14.6009,1
4.6,2,0.448977,52.451,1,1,8.33866,8.33866,7.73505,1
4.6,3,0.469824,60.1619,1,1,16.8685,16.8685,14.6009,1
4.6,4,0.248977,52.451,1,1,8.33866,8.33866,7.73505,1
4.6,5,0.149824,60.1619,1,1,16.8685,16.8685,14.6009,1
4.6,6,0.773061,52.451,1,1,8.33866,8.33866,7.73505,1
4.6,7,0.9,60.1619,1,1,16.8685,16.8685,14.6009,1
4.7,0,0.167327,60.5196,1,1,14.4604,14.4604,12.5833,1
4.7,1,0.117327,60.5196,1,1,14.4604,14.4604,12.5833,1
4.7,2,0.446108,53.078,1,1,16.7018,16.7018,14.4595,1
